,sent_ind,cve_sent_ind,token,pos,tag,dep,label,pred_y
141,CVE-2002-2161,0,Firewall,PROPN,NNP,nsubj,pn,pn
142,CVE-2002-2161,0,(,PUNCT,-LRB-,punct,O,O
143,CVE-2002-2161,0,KPF,PROPN,NNP,appos,pn,pn
144,CVE-2002-2161,0,),PUNCT,-RRB-,punct,O,O
145,CVE-2002-2161,0,2.1.4,NUM,CD,appos,vre,vre
146,CVE-2002-2161,0,and,CCONJ,CC,cc,=,=
147,CVE-2002-2161,0,earlier,ADJ,JJR,conj,<,<
148,CVE-2002-2161,0,allows,VERB,VBZ,ROOT,verb,verb
149,CVE-2002-2161,0,remote,ADJ,JJ,amod,O,O
150,CVE-2002-2161,0,attackers,NOUN,NNS,nsubj,O,O
151,CVE-2002-2161,0,to,PART,TO,aux,O,O
152,CVE-2002-2161,0,cause,VERB,VB,ccomp,O,O
153,CVE-2002-2161,0,a,DET,DT,det,O,O
154,CVE-2002-2161,0,denial,NOUN,NN,dobj,O,O
155,CVE-2002-2161,0,of,ADP,IN,prep,O,O
156,CVE-2002-2161,0,service,NOUN,NN,pobj,O,O
157,CVE-2002-2161,0,(,PUNCT,-LRB-,punct,O,O
158,CVE-2002-2161,0,hang,VERB,VB,conj,O,O
159,CVE-2002-2161,0,and,CCONJ,CC,cc,O,O
160,CVE-2002-2161,0,CPU,NOUN,NN,compound,O,O
161,CVE-2002-2161,0,consumption,NOUN,NN,conj,O,O
162,CVE-2002-2161,0,),PUNCT,-RRB-,punct,O,O
163,CVE-2002-2161,0,via,ADP,IN,prep,O,O
164,CVE-2002-2161,0,a,DET,DT,det,O,O
165,CVE-2002-2161,0,SYN,NOUN,NN,compound,O,O
166,CVE-2002-2161,0,packet,NOUN,NN,compound,O,O
167,CVE-2002-2161,0,flood,NOUN,NN,pobj,O,O
168,CVE-2002-2161,0,.,PUNCT,.,punct,O,O
169,CVE-2003-0373,0,Multiple,ADJ,JJ,amod,O,O
170,CVE-2003-0373,0,buffer,NOUN,NN,nsubj,O,O
171,CVE-2003-0373,0,overflows,VERB,VBZ,ROOT,O,O
172,CVE-2003-0373,0,in,ADP,IN,prep,O,O
173,CVE-2003-0373,0,libnasl,NOUN,NN,pobj,O,O
174,CVE-2003-0373,0,in,ADP,IN,prep,O,O
175,CVE-2003-0373,0,Nessus,PROPN,NNP,pobj,pn,pn
176,CVE-2003-0373,0,before,ADP,IN,prep,<,<
177,CVE-2003-0373,0,2.0.6,NUM,CD,pobj,vre,vre
178,CVE-2003-0373,0,allow,VERB,VBP,advcl,verb,verb
179,CVE-2003-0373,0,local,ADJ,JJ,amod,O,O
180,CVE-2003-0373,0,users,NOUN,NNS,nsubj,O,O
181,CVE-2003-0373,0,with,ADP,IN,prep,O,O
182,CVE-2003-0373,0,plugin,NOUN,NN,pobj,O,O
183,CVE-2003-0373,0,upload,VERB,VB,ccomp,O,O
184,CVE-2003-0373,0,privileges,NOUN,NNS,dobj,O,O
185,CVE-2003-0373,0,to,PART,TO,aux,O,O
186,CVE-2003-0373,0,cause,VERB,VB,advcl,O,O
187,CVE-2003-0373,0,a,DET,DT,det,O,O
188,CVE-2003-0373,0,denial,NOUN,NN,dobj,O,O
189,CVE-2003-0373,0,of,ADP,IN,prep,O,O
190,CVE-2003-0373,0,service,NOUN,NN,pobj,O,O
191,CVE-2003-0373,0,(,PUNCT,-LRB-,punct,O,O
192,CVE-2003-0373,0,core,NOUN,NN,compound,O,O
193,CVE-2003-0373,0,dump,NOUN,NN,parataxis,O,O
194,CVE-2003-0373,0,),PUNCT,-RRB-,punct,O,O
195,CVE-2003-0373,0,and,CCONJ,CC,cc,O,O
196,CVE-2003-0373,0,possibly,ADV,RB,advmod,O,O
197,CVE-2003-0373,0,execute,VERB,VB,conj,O,O
198,CVE-2003-0373,0,arbitrary,ADJ,JJ,amod,O,O
199,CVE-2003-0373,0,code,NOUN,NN,dobj,O,O
200,CVE-2003-0373,0,via,ADP,IN,prep,O,O
201,CVE-2003-0373,0,(,PUNCT,-LRB-,punct,O,O
202,CVE-2003-0373,0,1,PUNCT,LS,meta,O,O
203,CVE-2003-0373,0,),PUNCT,-RRB-,punct,O,O
204,CVE-2003-0373,0,a,DET,DT,det,O,O
205,CVE-2003-0373,0,long,ADJ,JJ,amod,O,O
206,CVE-2003-0373,0,proto,NOUN,NN,compound,O,O
207,CVE-2003-0373,0,argument,NOUN,NN,pobj,O,O
208,CVE-2003-0373,0,to,ADP,IN,prep,O,O
209,CVE-2003-0373,0,the,DET,DT,det,O,O
210,CVE-2003-0373,0,scanner_add_port,NOUN,NN,compound,O,O
211,CVE-2003-0373,0,function,NOUN,NN,pobj,O,O
212,CVE-2003-0373,0,",",PUNCT,",",punct,O,O
213,CVE-2003-0373,0,(,PUNCT,-LRB-,punct,O,O
214,CVE-2003-0373,0,2,PUNCT,LS,meta,O,O
215,CVE-2003-0373,0,),PUNCT,-RRB-,punct,O,O
216,CVE-2003-0373,0,a,DET,DT,det,O,O
217,CVE-2003-0373,0,long,ADJ,JJ,amod,O,O
218,CVE-2003-0373,0,user,NOUN,NN,compound,O,O
219,CVE-2003-0373,0,argument,NOUN,NN,conj,O,O
220,CVE-2003-0373,0,to,ADP,IN,prep,O,O
221,CVE-2003-0373,0,the,DET,DT,det,O,O
222,CVE-2003-0373,0,ftp_log_in,PROPN,NNP,compound,O,O
223,CVE-2003-0373,0,function,NOUN,NN,pobj,O,O
224,CVE-2003-0373,0,",",PUNCT,",",punct,O,O
225,CVE-2003-0373,0,(,PUNCT,-LRB-,punct,O,O
226,CVE-2003-0373,0,3,PUNCT,LS,meta,O,O
227,CVE-2003-0373,0,),PUNCT,-RRB-,punct,O,O
228,CVE-2003-0373,0,a,DET,DT,det,O,O
229,CVE-2003-0373,0,long,ADJ,JJ,amod,O,O
230,CVE-2003-0373,0,pass,NOUN,NN,compound,O,O
231,CVE-2003-0373,0,argument,NOUN,NN,conj,O,O
232,CVE-2003-0373,0,to,ADP,IN,prep,O,O
233,CVE-2003-0373,0,the,DET,DT,det,O,O
234,CVE-2003-0373,0,ftp_log_in,PROPN,NNP,compound,O,O
235,CVE-2003-0373,0,function,NOUN,NN,pobj,O,O
236,CVE-2003-0373,0,.,PUNCT,.,punct,O,O
237,CVE-2003-0460,0,The,DET,DT,det,O,O
238,CVE-2003-0460,0,rotatelogs,NOUN,NNS,compound,O,O
239,CVE-2003-0460,0,program,NOUN,NN,nsubj,O,O
240,CVE-2003-0460,0,on,ADP,IN,prep,O,O
241,CVE-2003-0460,0,Apache,PROPN,NNP,pobj,O,O
242,CVE-2003-0460,0,before,ADP,IN,prep,<,<
243,CVE-2003-0460,0,1.3.28,NUM,CD,pobj,vre,vre
244,CVE-2003-0460,0,",",PUNCT,",",punct,O,O
245,CVE-2003-0460,0,for,ADP,IN,prep,O,O
246,CVE-2003-0460,0,Windows,PROPN,NNP,nmod,O,O
247,CVE-2003-0460,0,and,CCONJ,CC,cc,O,O
248,CVE-2003-0460,0,OS/2,PROPN,NNP,conj,O,O
249,CVE-2003-0460,0,systems,NOUN,NNS,pobj,O,O
250,CVE-2003-0460,0,",",PUNCT,",",punct,O,O
251,CVE-2003-0460,0,does,VERB,VBZ,aux,verb,verb
252,CVE-2003-0460,0,not,ADV,RB,neg,O,O
253,CVE-2003-0460,0,properly,ADV,RB,advmod,O,O
254,CVE-2003-0460,0,ignore,VERB,VB,ROOT,O,O
255,CVE-2003-0460,0,certain,ADJ,JJ,amod,O,O
256,CVE-2003-0460,0,control,NOUN,NN,compound,O,O
257,CVE-2003-0460,0,characters,NOUN,NNS,dobj,O,O
258,CVE-2003-0460,0,that,DET,WDT,nsubjpass,O,O
259,CVE-2003-0460,0,are,VERB,VBP,auxpass,O,O
260,CVE-2003-0460,0,received,VERB,VBN,relcl,O,O
261,CVE-2003-0460,0,over,ADP,IN,prep,O,O
262,CVE-2003-0460,0,the,DET,DT,det,O,O
263,CVE-2003-0460,0,pipe,NOUN,NN,pobj,O,O
264,CVE-2003-0460,0,",",PUNCT,",",punct,O,O
265,CVE-2003-0460,0,which,DET,WDT,nsubj,O,O
266,CVE-2003-0460,0,could,VERB,MD,aux,O,O
267,CVE-2003-0460,0,allow,VERB,VB,relcl,O,O
268,CVE-2003-0460,0,remote,ADJ,JJ,amod,O,O
269,CVE-2003-0460,0,attackers,NOUN,NNS,nsubj,O,O
270,CVE-2003-0460,0,to,PART,TO,aux,O,O
271,CVE-2003-0460,0,cause,VERB,VB,ccomp,O,O
272,CVE-2003-0460,0,a,DET,DT,det,O,O
273,CVE-2003-0460,0,denial,NOUN,NN,dobj,O,O
274,CVE-2003-0460,0,of,ADP,IN,prep,O,O
275,CVE-2003-0460,0,service,NOUN,NN,pobj,O,O
276,CVE-2003-0460,0,.,PUNCT,.,punct,O,O
277,CVE-2003-1045,0,votes.cgi,X,ADD,nsubj,O,O
278,CVE-2003-1045,0,in,ADP,IN,prep,O,O
279,CVE-2003-1045,0,Bugzilla,PROPN,NNP,pobj,pn,pn
280,CVE-2003-1045,0,2.16.3,NUM,CD,preconj,vre,vre
281,CVE-2003-1045,0,and,CCONJ,CC,cc,=,=
282,CVE-2003-1045,0,earlier,ADV,RBR,conj,<,<
283,CVE-2003-1045,0,",",PUNCT,",",punct,sp,sp
284,CVE-2003-1045,0,and,CCONJ,CC,cc,sp,sp
285,CVE-2003-1045,0,2.17.1,NUM,CD,conj,vrs,vrs
286,CVE-2003-1045,0,through,ADP,IN,prep,<=,<=
287,CVE-2003-1045,0,2.17.4,NUM,CD,pobj,vre,vre
288,CVE-2003-1045,0,",",PUNCT,",",punct,O,O
289,CVE-2003-1045,0,allows,VERB,VBZ,ROOT,verb,verb
290,CVE-2003-1045,0,remote,ADJ,JJ,amod,O,O
291,CVE-2003-1045,0,attackers,NOUN,NNS,nsubj,O,O
292,CVE-2003-1045,0,to,PART,TO,aux,O,O
293,CVE-2003-1045,0,read,VERB,VB,ccomp,O,O
294,CVE-2003-1045,0,a,DET,DT,det,O,O
295,CVE-2003-1045,0,user,NOUN,NN,poss,O,O
296,CVE-2003-1045,0,'s,PART,POS,case,O,O
297,CVE-2003-1045,0,voting,NOUN,NN,compound,O,O
298,CVE-2003-1045,0,page,NOUN,NN,dobj,O,O
299,CVE-2003-1045,0,when,ADV,WRB,advmod,O,O
300,CVE-2003-1045,0,that,DET,DT,det,O,O
301,CVE-2003-1045,0,user,NOUN,NN,nsubj,O,O
302,CVE-2003-1045,0,has,VERB,VBZ,aux,O,O
303,CVE-2003-1045,0,voted,VERB,VBN,advcl,O,O
304,CVE-2003-1045,0,on,ADP,IN,prep,O,O
305,CVE-2003-1045,0,a,DET,DT,det,O,O
306,CVE-2003-1045,0,restricted,ADJ,JJ,amod,O,O
307,CVE-2003-1045,0,bug,NOUN,NN,pobj,O,O
308,CVE-2003-1045,0,",",PUNCT,",",punct,O,O
309,CVE-2003-1045,0,which,DET,WDT,nsubj,O,O
310,CVE-2003-1045,0,allows,VERB,VBZ,relcl,O,O
311,CVE-2003-1045,0,remote,ADJ,JJ,amod,O,O
312,CVE-2003-1045,0,attackers,NOUN,NNS,nsubj,O,O
313,CVE-2003-1045,0,to,PART,TO,aux,O,O
314,CVE-2003-1045,0,read,VERB,VB,ccomp,O,O
315,CVE-2003-1045,0,potentially,ADV,RB,advmod,O,O
316,CVE-2003-1045,0,sensitive,ADJ,JJ,amod,O,O
317,CVE-2003-1045,0,voting,NOUN,NN,compound,O,O
318,CVE-2003-1045,0,information,NOUN,NN,dobj,O,O
319,CVE-2003-1045,0,by,ADP,IN,prep,O,O
320,CVE-2003-1045,0,modifying,VERB,VBG,pcomp,O,O
321,CVE-2003-1045,0,the,DET,DT,dobj,O,O
322,CVE-2003-1045,0,who,PRON,WP,nsubj,O,O
323,CVE-2003-1045,0,parameter,VERB,VBP,relcl,O,O
324,CVE-2003-1045,0,.,PUNCT,.,punct,O,O
325,CVE-2004-2169,0,Application,NOUN,NN,compound,pn,pn
326,CVE-2004-2169,0,Access,PROPN,NNP,compound,pn,pn
327,CVE-2004-2169,0,Server,NOUN,NN,ROOT,pn,pn
328,CVE-2004-2169,0,(,PUNCT,-LRB-,punct,O,O
329,CVE-2004-2169,0,A,PROPN,NNP,nmod,pn,pn
330,CVE-2004-2169,0,-,PUNCT,HYPH,punct,pn,pn
331,CVE-2004-2169,0,A,PROPN,NNP,compound,pn,pn
332,CVE-2004-2169,0,-,PUNCT,HYPH,punct,pn,pn
333,CVE-2004-2169,0,S,NOUN,NN,appos,pn,pn
334,CVE-2004-2169,0,),PUNCT,-RRB-,punct,O,O
335,CVE-2004-2169,1,1.0.37,NUM,CD,ROOT,vre,vre
336,CVE-2004-2169,1,and,CCONJ,CC,cc,=,=
337,CVE-2004-2169,1,earlier,ADJ,JJR,advmod,<,<
338,CVE-2004-2169,1,allows,VERB,VBZ,conj,verb,verb
339,CVE-2004-2169,1,remote,ADJ,JJ,amod,O,O
340,CVE-2004-2169,1,authenticated,VERB,VBN,amod,O,O
341,CVE-2004-2169,1,users,NOUN,NNS,nsubj,O,O
342,CVE-2004-2169,1,to,PART,TO,aux,O,O
343,CVE-2004-2169,1,cause,VERB,VB,ccomp,O,O
344,CVE-2004-2169,1,a,DET,DT,det,O,O
345,CVE-2004-2169,1,denial,NOUN,NN,dobj,O,O
346,CVE-2004-2169,1,of,ADP,IN,prep,O,O
347,CVE-2004-2169,1,service,NOUN,NN,pobj,O,O
348,CVE-2004-2169,1,(,PUNCT,-LRB-,punct,O,O
349,CVE-2004-2169,1,application,NOUN,NN,compound,O,O
350,CVE-2004-2169,1,crash,NOUN,NN,appos,O,O
351,CVE-2004-2169,1,),PUNCT,-RRB-,punct,O,O
352,CVE-2004-2169,1,via,ADP,IN,prep,O,O
353,CVE-2004-2169,1,a,DET,DT,det,O,O
354,CVE-2004-2169,1,long,ADJ,JJ,amod,O,O
355,CVE-2004-2169,1,file,NOUN,NN,compound,O,O
356,CVE-2004-2169,1,request,NOUN,NN,pobj,O,O
357,CVE-2004-2169,1,.,PUNCT,.,punct,O,O
358,CVE-2004-2383,0,Microsoft,PROPN,NNP,compound,O,O
359,CVE-2004-2383,0,Internet,PROPN,NNP,compound,pn,pn
360,CVE-2004-2383,0,Explorer,PROPN,NNP,nsubj,pn,pn
361,CVE-2004-2383,0,5,NUM,CD,nummod,vrs,vrs
362,CVE-2004-2383,0,through,ADP,IN,prep,<=,<=
363,CVE-2004-2383,0,6,NUM,CD,pobj,vre,vre
364,CVE-2004-2383,0,allows,VERB,VBZ,ROOT,verb,verb
365,CVE-2004-2383,0,remote,ADJ,JJ,amod,O,O
366,CVE-2004-2383,0,attackers,NOUN,NNS,nsubj,O,O
367,CVE-2004-2383,0,to,PART,TO,aux,O,O
368,CVE-2004-2383,0,bypass,VERB,VB,ccomp,O,O
369,CVE-2004-2383,0,cross,ADJ,JJ,subtok,O,O
370,CVE-2004-2383,0,-,ADJ,JJ,subtok,O,O
371,CVE-2004-2383,0,frame,ADJ,JJ,amod,O,O
372,CVE-2004-2383,0,scripting,NOUN,NN,compound,O,O
373,CVE-2004-2383,0,restrictions,NOUN,NNS,dobj,O,O
374,CVE-2004-2383,0,and,CCONJ,CC,cc,O,O
375,CVE-2004-2383,0,capture,VERB,VB,conj,O,O
376,CVE-2004-2383,0,keyboard,NOUN,NN,compound,O,O
377,CVE-2004-2383,0,events,NOUN,NNS,dobj,O,O
378,CVE-2004-2383,0,from,ADP,IN,prep,O,O
379,CVE-2004-2383,0,other,ADJ,JJ,amod,O,O
380,CVE-2004-2383,0,domains,NOUN,NNS,pobj,O,O
381,CVE-2004-2383,0,via,ADP,IN,prep,O,O
382,CVE-2004-2383,0,an,DET,DT,det,O,O
383,CVE-2004-2383,0,HTML,NOUN,NN,compound,O,O
384,CVE-2004-2383,0,document,NOUN,NN,pobj,O,O
385,CVE-2004-2383,0,with,ADP,IN,prep,O,O
386,CVE-2004-2383,0,Javascript,PROPN,NNP,pobj,O,O
387,CVE-2004-2383,0,that,DET,WDT,nsubj,O,O
388,CVE-2004-2383,0,is,VERB,VBZ,relcl,O,O
389,CVE-2004-2383,0,outside,ADP,IN,prep,O,O
390,CVE-2004-2383,0,a,DET,DT,det,O,O
391,CVE-2004-2383,0,frameset,NOUN,NN,pobj,O,O
392,CVE-2004-2383,0,that,DET,WDT,nsubj,O,O
393,CVE-2004-2383,0,includes,VERB,VBZ,relcl,O,O
394,CVE-2004-2383,0,the,DET,DT,det,O,O
395,CVE-2004-2383,0,target,NOUN,NN,compound,O,O
396,CVE-2004-2383,0,domain,NOUN,NN,dobj,O,O
397,CVE-2004-2383,0,",",PUNCT,",",punct,O,O
398,CVE-2004-2383,0,then,ADV,RB,advmod,O,O
399,CVE-2004-2383,0,forcing,VERB,VBG,conj,O,O
400,CVE-2004-2383,0,the,DET,DT,det,O,O
401,CVE-2004-2383,0,frameset,NOUN,NN,dobj,O,O
402,CVE-2004-2383,0,to,PART,TO,aux,O,O
403,CVE-2004-2383,0,maintain,VERB,VB,xcomp,O,O
404,CVE-2004-2383,0,focus,NOUN,NN,dobj,O,O
405,CVE-2004-2383,0,.,PUNCT,.,punct,O,O
406,CVE-2004-2383,1,NOTE,NOUN,NN,dep,O,O
407,CVE-2004-2383,1,:,PUNCT,:,punct,O,O
408,CVE-2004-2383,1,the,DET,DT,det,O,O
409,CVE-2004-2383,1,discloser,NOUN,NN,nsubj,O,O
410,CVE-2004-2383,1,claimed,VERB,VBD,ccomp,O,O
411,CVE-2004-2383,1,that,ADP,IN,mark,O,O
412,CVE-2004-2383,1,the,DET,DT,det,O,O
413,CVE-2004-2383,1,vendor,NOUN,NN,nsubj,O,O
414,CVE-2004-2383,1,does,VERB,VBZ,aux,O,O
415,CVE-2004-2383,1,not,ADV,RB,neg,O,O
416,CVE-2004-2383,1,categorize,VERB,VB,ccomp,O,O
417,CVE-2004-2383,1,this,DET,DT,dobj,O,O
418,CVE-2004-2383,1,as,ADP,IN,prep,O,O
419,CVE-2004-2383,1,a,DET,DT,det,O,O
420,CVE-2004-2383,1,vulnerability,NOUN,NN,pobj,O,O
421,CVE-2004-2383,1,",",PUNCT,",",punct,O,O
422,CVE-2004-2383,1,but,CCONJ,CC,cc,O,O
423,CVE-2004-2383,1,it,PRON,PRP,nsubjpass,O,O
424,CVE-2004-2383,1,can,VERB,MD,aux,O,O
425,CVE-2004-2383,1,be,VERB,VB,auxpass,O,O
426,CVE-2004-2383,1,used,VERB,VBN,conj,O,O
427,CVE-2004-2383,1,in,ADP,IN,prep,O,O
